Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature;;;;;;;;;
"spotify:track:4Gg1tYCl7rWR4laKbdtPA4,""Daylight"",""Daylight"",""David Kushner"",2023-04-14,212953,74,false,,2026-03-30T06:04:16Z,"""",""Miserable Music Group"",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4";;;;;;;;;
"spotify:track:2pbSCYzxrG0wa6qcj8IyiE,""Cuando No Era Cantante - Remix"",""Cuando No Era Cantante (Remix)"",""El Bogueto";Anuel AA;Fuerza Regida;"Yung Beef"",2025-12-10,327488,89,true,,2026-03-30T02:35:53Z,""reggaeton mexa,reggaeton,trap latino,urbano latino,Música latina,corrido,corridos tumbados,corridos bélicos,música mexicana,banda,sierreño,sierreño triste,electrocorridos,neoperreo"",""El Bogueto"",0.695,0.851,11,-3.566,0,0.0448,0.247,0,0.103,0.795,166.128,4";;;;;;
"spotify:track:2Mgur7BKnpr7OG3izSNFTA,""Esclava - Remix"",""Esclava (Remix)"",""Bryant Myers";Anuel AA;Anonimus;"Almighty"",2016-05-01,281545,83,false,,2026-03-29T04:32:36Z,""trap latino,reggaeton,urbano latino,trap,Música latina"",""Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales"",0.648,0.66,3,-6.177,1,0.2,0.351,0,0.365,0.519,119.644,4";;;;;;
"spotify:track:2rnvFmtBu8L32HcFXgBf9F,""La Paso Cabrón (feat. Gigolo y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"",""Trap Capos: Season 1"",""Trap Capos";Noriel;Gigolo Y La Exce;Sammy & Falsetto;Mike Duran;"Baby Angel"",2016-10-07,303640,78,true,,2026-03-26T22:57:22Z,""trap latino,trap,dembow,reggaeton"",""Sony Music Latin"",0.681,0.619,7,-8.34,1,0.0807,0.469,0,0.14,0.27,100.005,4";;;;
"spotify:track:4WDSPCfr60K0HI7YYhEHKu,""Netflixxx"",""Netflixxx"",""Brytiago";"Bad Bunny"",2017-06-29,219007,76,true,,2026-03-26T22:54:30Z,""trap latino,reggaeton,urbano latino,trap,Música latina"",""Business Music"",0.703,0.615,6,-5.647,0,0.119,0.691,0,0.131,0.637,134.82,4";;;;;;;;
"spotify:track:6gI7UZyH9wwAaRfcF070Hz,""Salgamos"",""The Beginning"",""KEVIN ROLDAN";Andy Rivera;"Maluma"",2017-01-20,229011,70,false,,2026-03-26T22:15:29Z,""reggaeton,trap latino,urbano latino,música colombiana popular,Música latina"",""Kapital Music & Entertainment"",0.841,0.552,8,-6.428,1,0.131,0.0856,0.00000445,0.281,0.867,79.998,4";;;;;;;
"spotify:track:3cdecPxEdxk99munEMVQ01,""Si Te Dejas Llevar"",""Si Te Dejas Llevar (feat. Juanka)"",""Ozuna";"Juanka"",2015-06-17,227996,73,true,,2026-03-26T14:10:20Z,""reggaeton,trap latino,Música latina,urbano latino,reggaeton chileno"",""Rimas Entertainment LLC"",0.744,0.874,10,-3.569,0,0.0515,0.103,0,0.774,0.853,81.98,4";;;;;;;;
"spotify:track:6vtFApLsXuSSiBRmpf81nW,""Si No Te Enamoras"",""The Beginning"",""KEVIN ROLDAN"",2017-01-20,242986,62,false,,2026-03-26T14:08:04Z,""reggaeton,trap latino,urbano latino"",""Kapital Music & Entertainment"",0.827,0.712,1,-5.814,0,0.195,0.00873,0.000619,0.216,0.773,167.984,4";;;;;;;;;
"spotify:track:1Kgyx7NLtzsa3gWV1efGHu,""Sexy Movimiento"",""Wisin Vs Yandel """"Los Extraterrestres"""""",""Wisin & Yandel"",2007-01-01,209680,78,false,,2026-03-26T13:51:58Z,""reggaeton,urbano latino"",""UMLE - Machete"",0.816,0.757,10,-6.16,0,0.0395,0.382,0.00000328,0.147,0.726,104.992,4";;;;;;;;;
"spotify:track:00C97lUG7Y0TY0KLv7p32h,""Sábado Rebelde"",""Sábado Rebelde"",""Daddy Yankee";"Plan B"",2015-02-24,240266,70,false,,2026-03-26T13:47:56Z,""reggaeton,Música latina"",""Craft Latino"",0.771,0.905,6,-3.268,0,0.155,0.11,0.00000751,0.656,0.858,163.981,4";;;;;;;;
"spotify:track:5EFAloMY9VlEKrjllKoXjL,""Mil Lágrimas"",""Fénix"",""Nicky Jam"",2017-01-20,208346,66,false,,2026-03-26T13:41:13Z,""reggaeton,Música latina"",""Sony Music Latin"",0.7,0.528,1,-5.979,0,0.0496,0.267,0,0.0892,0.718,79.987,4";;;;;;;;;
"spotify:track:4w8XJ8nvhslJS3AvR6uL98,""Un Sueño"",""Gargolas 5: The Next Generation"",""Alex Gargolas";"R.K.M & Ken-Y"",2006,245106,69,false,,2026-03-26T13:30:55Z,""reggaeton"",""Rimas Classics LLC."",0.788,0.676,1,-6.114,1,0.0663,0.17,0.0496,0.355,0.811,95.011,4";;;;;;;;
